,Recipe_name,Recipe_ingredients,Recipe_instructions,Recipe_img_link
0,Mom's Peach Crisp,"['4 cups sliced fresh peaches', '½ cup all-purpose flour', '½ cup brown sugar', '½ cup cold butter', '1 teaspoon ground cinnamon', '¼ teaspoon salt', '1 cup rolled oats']","['Preheat oven to 350 degrees F (175 degrees C).', 'Arrange peaches evenly in an 8x8-inch baking dish.', 'Mix flour, brown sugar, butter, cinnamon, and salt in a bowl using a pastry cutter until evenly crumbled. Fold oats into flour mixture; sprinkle and press topping into peaches.', 'Bake in the preheated oven until topping is lightly browned, about 30 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3897472.jpg
1,Microwave Chocolate Mug Cake,"['¼ cup all-purpose flour', '¼ cup white sugar', '2 tablespoons unsweetened cocoa powder', '⅛ teaspoon baking soda', '⅛ teaspoon salt', '3 tablespoons milk', '2 tablespoons canola oil', '1 tablespoon water', '¼ teaspoon vanilla extract']","['Mix flour, sugar, cocoa powder, baking soda, and salt in a large microwave-safe mug; stir in milk, canola oil, water, and vanilla extract.', 'Cook in microwave until cake is done in the middle, about 1 minute 45 seconds.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4541090.jpg
2,Classic Waffles,"['2 cups all-purpose flour', '1 teaspoon salt', '4 teaspoons baking powder', '2 tablespoons white sugar', '2  large eggs eggs', '1\u2009½ cups warm milk', '⅓ cup butter, melted', '1 teaspoon vanilla extract']","['In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature.', 'In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended.', 'Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F34761.jpg
3,Two-Ingredient Naan,"['1\u2009¼ cups self-rising flour, or more as needed', '1 cup whole-milk Greek yogurt']","['Mix self-rising flour and Greek yogurt together in a large bowl until combined. Transfer to a lightly floured work surface and knead until smooth, adding more flour as necessary to keep dough from sticking, 2 to 3 minutes.', 'Pat dough into a rough 9x7-inch rectangle. Divide into 8 equal pieces. Lightly dust each piece with flour and flatten into a semi-rectangular shape, about 1/4 inch thick.', 'Lightly grease a large skillet and place it over medium heat. Add 1 or 2 of the flattened dough pieces to the skillet. Cook until they begin to bubble and brown, 2 to 4 minutes. Flip over and cook an additional 2 to 4 minutes. Remove from heat and repeat with remaining dough until all pieces are cooked. Serve warm.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8103869.jpg
4,Balsamic Bruschetta,"['8 plum tomato (blank)s roma (plum) tomatoes, diced', '⅓ cup chopped fresh basil', '¼ cup shredded Parmesan cheese', '2 cloves garlic, minced', '1 tablespoon balsamic vinegar', '1 teaspoon olive oil', '¼ teaspoon kosher salt', '¼ teaspoon freshly ground black pepper', '1 loaf French bread, toasted and sliced']","['In a bowl, toss together the tomatoes, basil, Parmesan cheese, and garlic. Mix in the balsamic vinegar, olive oil, kosher salt, and pepper. Serve on toasted bread slices.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F866248.jpg
5,Homemade Mac and Cheese,"['8 ounces uncooked elbow macaroni', '2 cups shredded sharp Cheddar cheese', '½ cup grated Parmesan cheese', '3 cups milk', '¼ cup butter', '2\u2009½ tablespoons all-purpose flour', '2 tablespoons butter', '½ cup bread crumbs', '1 pinch paprika']","['Cook macaroni according to the package directions.  Drain.', 'In a saucepan, melt butter or margarine over medium heat.  Stir in enough flour to make a roux.  Add milk to roux slowly, stirring constantly.  Stir in cheeses, and cook over low heat until cheese is melted and the sauce is a little thick.  Put macaroni in large casserole dish, and pour sauce over macaroni.  Stir well.', 'Melt butter or margarine in a skillet over medium heat.  Add breadcrumbs and brown.  Spread over the macaroni and cheese to cover.  Sprinkle with a little paprika.', 'Bake at 350 degrees F (175 degrees C) for 30 minutes. Serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6174584.jpg
6,Joy's Easy Banana Bread,"['3 medium (7"" to 7-7/8"" long)s ripe bananas, mashed', '1 cup white sugar', '1  egg', '¼ cup melted butter', '1\u2009½ cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt']","['Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.', 'Combine bananas, sugar, egg, and butter together in a bowl. Mix flour and baking soda together in a separate bowl; stir into banana mixture until batter is just mixed. Stir salt into batter. Pour batter into the prepared loaf pan.', 'Bake in the preheated oven until a toothpick inserted in the center of the bread comes out clean, about 1 hour.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2226688.jpg
7,Simple White Cake,"['1 cup white sugar', '½ cup butter', '2  large eggs eggs', '2 teaspoons vanilla extract', '1\u2009½ cups all-purpose flour', '1\u2009¾ teaspoons baking powder', '½ cup milk']","['Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan or line a muffin pan with paper liners.', 'In a medium bowl, cream together the sugar and butter. Beat in the eggs, one at a time, then stir in the vanilla. Combine flour and baking powder, add to the creamed mixture and mix well. Finally stir in the milk until batter is smooth. Pour or spoon batter into the prepared pan.', 'Bake for 30 to 40 minutes in the preheated oven. For cupcakes, bake 20 to 25 minutes. Cake is done when it springs back to the touch.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1437162.jpg
8,Simple Macaroni and Cheese,"['1 (8 ounce) box elbow macaroni', '¼ cup butter', '¼ cup all-purpose flour', '½ teaspoon salt', '1 pinch ground black pepper to taste', '2 cups milk', '2 cups shredded Cheddar cheese']","['Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain.', 'Melt butter in a saucepan over medium heat; stir in flour, salt, and pepper until smooth, about 5 minutes. Slowly pour milk into butter-flour mixture while continuously stirring until mixture is smooth and bubbling, about 5 minutes. Add Cheddar cheese to milk mixture and stir until cheese is melted, 2 to 4 minutes.', 'Fold macaroni into cheese sauce until coated.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5445825.jpg
9,Simple Teriyaki Sauce,"['1 cup water', '¼ cup soy sauce', '5 teaspoons packed brown sugar', '1 tablespoon honey, or more to taste', '½ teaspoon ground ginger', '¼ teaspoon garlic powder', '2 tablespoons cornstarch', '¼ cup cold water']","['Combine 1 cup water, soy sauce, brown sugar, honey, ginger, and garlic powder in a saucepan over medium heat. Cook until nearly heated through, about 1 minute.', 'Mix cornstarch and 1/4 cold water together in a cup; stir until dissolved. Add to the saucepan. Cook and stir sauce until thickened, 5 to 7 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4553894.jpg
