,title,ingredients,instructions,picture_link
0,Joy's Easy Banana Bread,"['3 medium (7"" to 7-7/8"" long)s ripe bananas, mashed', '1 cup white sugar', '1  egg', '¼ cup melted butter', '1\u2009½ cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt']","['Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.', 'Combine bananas, sugar, egg, and butter together in a bowl. Mix flour and baking soda together in a separate bowl; stir into banana mixture until batter is just mixed. Stir salt into batter. Pour batter into the prepared loaf pan.', 'Bake in the preheated oven until a toothpick inserted in the center of the bread comes out clean, about 1 hour.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2226688.jpg
1,Fresh Southern Peach Cobbler,"['8 medium (2-1/2"" dia) (approx 4 per lb)s fresh peaches - peeled, pitted and sliced into thin wedges', '¼ cup white sugar', '¼ cup brown sugar', '¼ teaspoon ground cinnamon', '⅛ teaspoon ground nutmeg', '1 teaspoon fresh lemon juice', '2 teaspoons cornstarch', '1 cup all-purpose flour', '¼ cup white sugar', '¼ cup brown sugar', '1 teaspoon baking powder', '½ teaspoon salt', '6 tablespoons unsalted butter, chilled and cut into small pieces', '¼ cup boiling water', '3 tablespoons white sugar', '1 teaspoon ground cinnamon']","['Preheat oven to 425 degrees F (220 degrees C).', 'In a large bowl, combine peaches, 1/4 cup  white sugar, 1/4 cup brown sugar, 1/4 teaspoon cinnamon, nutmeg, lemon juice, and cornstarch. Toss to coat evenly, and pour into a 2 quart baking dish. Bake in preheated oven for 10 minutes.', 'Meanwhile, in a large bowl, combine flour, 1/4 cup white sugar, 1/4 cup brown sugar, baking powder, and salt. Blend in butter with your fingertips, or a pastry blender, until mixture resembles coarse meal. Stir in water until just combined.', 'Remove peaches from oven, and drop spoonfuls of topping over them. Sprinkle entire cobbler with the sugar and cinnamon mixture. Bake until topping is golden, about 30 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2500761.jpg
2,Easy Sausage Gravy and Biscuits,"['1 (16 ounce) can refrigerated jumbo buttermilk biscuits', '1 (9.6 ounce) package Jimmy Dean® Original Hearty Pork Sausage Crumbles', '¼ cup flour', '2\u2009½ cups milk', 'Salt and ground black pepper to taste']","['Bake biscuits according to package directions.', 'Meanwhile, cook sausage in large skillet over medium heat 5-6 minutes or until thoroughly heated, stirring frequently.  Stir in flour. Gradually add milk; cook until mixture comes to a boil and thickens, stirring constantly. Reduce heat to medium-low; simmer 2 minutes, stirring constantly. Season to taste with salt and pepper.', 'Split biscuits in half.  Place 2 halves on each of 8 plates; top with about 1/3 cup gravy.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F571726.jpg
3,Microwave Corn on the Cob,"['1 ear corn, husked and cleaned']","['Wet a paper towel, and wring out. Wrap the ear of corn in the moist towel, and place on a dinner plate. Cook in the microwave for 5 minutes. Carefully remove paper towel, and enjoy!']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F838726.jpg
4,Homemade Mac and Cheese,"['8 ounces uncooked elbow macaroni', '2 cups shredded sharp Cheddar cheese', '½ cup grated Parmesan cheese', '3 cups milk', '¼ cup butter', '2\u2009½ tablespoons all-purpose flour', '2 tablespoons butter', '½ cup bread crumbs', '1 pinch paprika']","['Cook macaroni according to the package directions.  Drain.', 'In a saucepan, melt butter or margarine over medium heat.  Stir in enough flour to make a roux.  Add milk to roux slowly, stirring constantly.  Stir in cheeses, and cook over low heat until cheese is melted and the sauce is a little thick.  Put macaroni in large casserole dish, and pour sauce over macaroni.  Stir well.', 'Melt butter or margarine in a skillet over medium heat.  Add breadcrumbs and brown.  Spread over the macaroni and cheese to cover.  Sprinkle with a little paprika.', 'Bake at 350 degrees F (175 degrees C) for 30 minutes. Serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6174584.jpg
5,French Toast I,"['6 thick slices bread', '2  large eggs eggs', '⅔ cup milk', '¼ teaspoon ground cinnamon', '¼ teaspoon ground nutmeg', '1 teaspoon vanilla extract', 'salt to taste']","['Beat together egg, milk, salt, desired spices and vanilla.', 'Heat a lightly oiled griddle or skillet over medium-high heat.', 'Dunk each slice of bread in egg mixture, soaking both sides.  Place in pan, and cook on both sides until golden.  Serve hot.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F234562.jpg
6,Jamie's Sweet and Easy Corn on the Cob,"['2 tablespoons white sugar', '1 tablespoon lemon juice', '6 ears corn on the cob, husks and silk removed']","['Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice, dissolving the sugar. Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let the corn cook in the hot water until tender, about 10 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F840195.jpg
7,Buffalo Chicken Dip,"['2 (10 ounce) cans chunk chicken, drained', '2 (8 ounce) packages cream cheese, softened', '1 cup Ranch dressing', ""¾ cup pepper sauce (such as Frank's Red Hot®)"", '1\u2009½ cups shredded Cheddar cheese', '1 bunch celery, cleaned and cut into 4 inch pieces', '1 (8 ounce) box chicken-flavored crackers']","['Heat chicken and hot sauce in a skillet over medium heat, until heated through. Stir in cream cheese and ranch dressing. Cook, stirring until well blended and warm. Mix in half of the shredded cheese, and transfer the mixture to a slow cooker. Sprinkle the remaining cheese over the top, cover, and cook on Low setting until hot and bubbly. Serve with celery sticks and crackers.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3095600.jpg
8,Spaghetti Pizza I,"['1 (8 ounce) package spaghetti, broken into 2-inch pieces', '1  egg, beaten', '¼ cup milk', '2 cups shredded mozzarella cheese, divided', '¼ teaspoon salt', '¼ teaspoon garlic salt', '1 (16 ounce) jar spaghetti sauce', '1 teaspoon dried oregano', '¼ teaspoon dried basil', '4 ounces pepperoni sausage, sliced']","['Preheat oven to 425 degrees F (220 degrees C). Grease a 9x13-inch baking dish.', 'Bring a large pot of lightly salted water to a boil. Add spaghetti and cook for 8 to 10 minutes or until al dente; drain and rinse with cold water.', 'Combine egg, milk, 1/2 cup of the mozzarella cheese, salt, and garlic salt in a large bowl. Stir in cooked spaghetti; mix well.', 'Spread mixture into prepared baking dish. Bake in preheated oven for 15 minutes. Remove from oven and reduce temperature to 350 degrees F (175 degrees C).', 'Spread sauce over spaghetti. Sprinkle with oregano, basil, and the remaining 1 1/2 cups mozzarella. Top with pepperoni, return to oven, and bake until cheese is bubbly and beginning to brown, about 30 minutes more. Let stand 5 minutes before cutting.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1104950.jpg
9,Classic Waffles,"['2 cups all-purpose flour', '1 teaspoon salt', '4 teaspoons baking powder', '2 tablespoons white sugar', '2  large eggs eggs', '1\u2009½ cups warm milk', '⅓ cup butter, melted', '1 teaspoon vanilla extract']","['In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature.', 'In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended.', 'Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F34761.jpg
