,title,ingredients,instructions,picture_link
0,Pork Meatballs and Cucumber Salad ,"['¼ cup golden raisins', '2 lb. thin-skinned cucumbers (such as Persian, English hothouse, and/or kirby) cut into bite-size pieces', '2½ tsp. kosher salt, divided, plus more', '3 Tbsp. extra-virgin olive oil, divided', '3 Tbsp. pine nuts', '¾ cup Castelvetrano olives, pitted, divided', '1 large egg', '2 garlic cloves, finely grated', '½ cup panko (Japanese breadcrumbs)', '3 Tbsp. finely chopped parsley', '¼ tsp. crushed red pepper flakes, plus more for serving', 'Freshly ground black pepper', '1 lb. ground pork', '½ small red onion, very thinly sliced (use a mandoline if you have one)', '2 cups tender herb leaves (such as mint and/or parsley)', '1 Tbsp. red wine vinegar', 'Plain whole-milk Greek yogurt (for serving)']","['Place racks in upper and lower thirds of oven; preheat to 425°F. Place raisins in a small bowl and pour in hot water to cover; let sit until ready to use.', 'Place cucumbers in a colander or sieve set in or over a large bowl; sprinkle with 1 tsp. salt and toss to combine. Let sit while you make the meatballs. (It will seem like a lot of cucumbers at first, but they will shrink down as they drain.)', 'Meanwhile, drizzle 2 Tbsp. oil over a large rimmed baking sheet. Arrange pine nuts in an even layer on another rimmed baking sheet (use a quarter-sheet if you have one!).', 'Finely chop ¼ cup olives. Transfer to a large bowl and add egg, garlic, panko, parsley, 1½ tsp. salt, and ¼ tsp. red pepper flakes; season with black pepper. Drain raisins and add half to bowl; mix well to combine. Add pork and gently mix with your hands to incorporate. Working one at a time, scoop out heaping tablespoonfuls of pork mixture and form into balls (think about the size of a golf ball; you should get about 20). Arrange on oiled baking sheet, spacing 1"" apart. Turn to coat.', 'Bake meatballs, rotating baking sheet front to back halfway through, until browned on bottom and cooked through, 10–15 minutes. Toast pine nuts on bottom rack until golden brown, about 3 minutes.', 'Coarsely chop remaining ½ cup olives. Gather cucumbers into a clean kitchen towel and squeeze out any excess liquid into bowl (don’t worry if they get a little smashed); discard liquid. Wipe out bowl and combine cucumbers, olives, pine nuts, onion, herbs, and remaining raisins in bowl; toss to combine. Drizzle in vinegar and remaining 1 Tbsp. oil, season with salt and black pepper, and toss again to coat.', 'Swoosh a generous scoop of yogurt over each plate, then top with salad and meatballs. Season with more black pepper and red pepper flakes if desired.']",https://assets.epicurious.com/photos/5f5a4542f09a8904a3c4de52/6:4/w_274%2Ch_169/IMG_6279_V3_final.jpg
1,Frozen Avocado Cake ,"['Softened butter (for the pan)', '8 whole graham crackers (120 g)', '11 digestive biscuits or 4 additional graham crackers (60 g)', '2 (14 oz/397 g) cans sweetened condensed milk', '3 Hass avocados', '1 pound (455 g) cream cheese, at room temperature', 'Pinch fine sea salt', '2 lemons', '2 limes']","['Preheat the oven to 350°F (180°C). Lightly butter the inside of a 9-inch (23-cm) springform pan.', 'Make the crust: Crumble the crackers and cookies into a medium bowl. Use a pestle or the bottom of a heavy bottle to crush them into fine crumbs. Add ⅓ cup (75 ml) of the condensed milk and stir until very well combined. (You can grind the crumbled graham crackers and mix them with the condensed milk in a food processor if you prefer.) Press the crumb mixture firmly and evenly into the bottom of the pan. Bake until the crust looks a little darker and smells sweet and toasty, 12 to 15 minutes. Cool the crust in the pan on a wire rack.', 'One at a time, cut an avocado in half lengthwise. Twist the halves to separate them. Hold the half with the pit in one hand. Holding the knife in your other hand, rap the knife blade into the pit to lodge it there. Twist the knife to loosen and remove the pit. Use a large spoon to scoop the avocado flesh onto a chopping board, discarding the skins. Coarsely chop the avocados.', 'Add the chopped avocados, cream cheese, remaining condensed milk, and salt to a food processor. (You can combine the filling in a blender instead but you may need to work in batches.) Grate the zest of 1 lemon and set aside. Squeeze the zested lemon and the limes (you should have about ⅓ cup/75 ml lemon), reserving the remaining lemon for garnish. Add the juice to the avocados and process the mixture until smooth, scraping down the sides of the bowl as needed.', 'Spread the filling in the cooled crust and sprinkle with the grated lemon zest. Cover the pan and freeze until the filling is firm, at least 6 hours or preferably overnight.', 'Let the frozen cake stand at room temperature for 15 to 30 minutes before slicing. Dipping a thin knife into hot water between each cut, slice the cake into wedges and serve, topping each serving with freshly grated lemon zest.']",https://assets.epicurious.com/photos/5f594905ac733a69984c9818/6:4/w_274%2Ch_169/IMG_6429_V2_final.jpg
2,Chocolate Zucchini Cake ,"['2 1/4 cups sifted all purpose flour', '1/2 cup unsweetened cocoa powder', '1 teaspoon baking soda', '1 teaspoon salt', '1 3/4 cups sugar', '1/2 cup (1 stick) unsalted butter, room temperature', '1/2 cup vegetable oil', '2 large eggs', '1 teaspoon vanilla extract', '1/2 cup buttermilk', '2 cups grated unpeeled zucchini (about 2 1/2 medium)', '1 6-ounce package (about 1 cup) semisweet chocolate chips', '3/4 cup chopped walnuts']","['Preheat oven to 325°F. Butter and flour 13 x 9 x 2-inch baking pan. Sift flour, cocoa powder, baking soda and salt into medium bowl. Beat sugar, butter and oil in large bowl until well blended. Add eggs 1 at a time, beating well after each addition. Beat in vanilla extract. Mix in dry ingredients alternately with buttermilk in 3 additions each. Mix in grated zucchini. Pour batter into prepared pan. Sprinkle chocolate chips and nuts over.', 'Bake cake until tester inserted into center comes out clean, about 50 minutes. Cool cake completely in pan.']",https://assets.epicurious.com/photos/5f5956b047453b078b7903f9/6:4/w_274%2Ch_169/ChocolateZucchiniCake_RECIPE_094652_V1_final.jpg
3,Swiss Chard Pasta With Toasted Hazelnuts and Parmesan ,"['¼ cup hazelnuts', '1 pound bow tie pasta (farfalle)', '8 tablespoons unsalted butter, plus more if needed', '4 cloves of garlic, minced', 'Hefty pinch each of salt and freshly ground black pepper', 'Small pinch of crushed red pepper flakes', '1 bunch Swiss chard, stems finely chopped and greens thinly sliced', '4 ounces Parmesan cheese, shaved', '2 tablespoons balsamic vinegar (optional)']","['Add the hazelnuts to a small skillet over medium heat. Toast them slowly, shaking the pan often, until lightly browned, 8 to 10 minutes. Remove them from the skillet, and when they are cool enough to handle, roughly chop the nuts.', 'Bring a large pot of salted water to a boil and cook the pasta until al dente. Drain it, reserving 1/2 cup of the cooking liquid and add it to a large bowl.', 'In a large skillet, heat the butter over medium-low heat. Once the butter begins to foam, add the garlic and use a wooden spoon to stir the mixture constantly until the butter begins to brown and have a slight nutty aroma, about 5 minutes. Add the salt, black pepper, and red pepper flakes. Give the mixture a good stir, and then set it aside to infuse for about 5 minutes longer away from the heat.', 'Pour the butter mixture (scraping the garlic, salt, pepper, and red pepper flakes) all over the warm pasta. If the pasta feels a bit dry, add a touch of the reserved cooking liquid. Toss to combine and set aside.', 'Set the same skillet (without cleaning it) over medium-high heat. Add the chard stems and cook for 5 minutes. Add the chard leaves and continue to cook, tossing the mixture every so often, until the greens begin to wilt and turn bright green, 3 to 5 minutes longer. Add a touch more butter or oil to the pan if it dries out too much.', 'Add the Swiss chard and hazelnuts to the pasta and toss it all together. Add the Parmesan shavings and the balsamic vinegar (if you’re using it); toss. Taste for seasonings and add more salt and pepper if needed.', 'Serve warm or at room temperature.', 'Localize it: You can use kale instead of chard, and any nut will work in place of the hazelnuts. Fresh out of balsamic vinegar? Red wine vinegar or freshly squeezed lemon juice will work.']",https://assets.epicurious.com/photos/5f57b11f8d8b36e66afbd2dc/6:4/w_274%2Ch_169/Swiss-Chard-Pasta-Salad-HC-090820.jpg
4,Sweet Corn Frittata With Cherry Tomato Compote ,"['2 tablespoons olive oil', '2 cloves of garlic, minced', '2 cups cherry tomatoes (any variety will work)', '¼ cup dry white wine', '8 to 10 fresh basil leaves, thinly sliced', 'Healthy pinch of fine sea salt', 'Freshly ground black pepper', '2 tablespoons cooking fat', '1 bunch of scallions, white parts and green parts diced separately', '2 cloves of garlic, minced', '1 medium potato, scrubbed and cut into 1/4-inch chunks', '2 cups fresh or thawed frozen corn kernels', '4 large eggs', '½ teaspoon crushed red pepper flakes', '4 ounces feta cheese, crumbled']","['Heat the oil in a medium-sized skillet over medium heat. Add the garlic and cook, stirring often, for about 1 minute. Add the tomatoes and cook, stirring occasionally, for about 2 minutes longer. Pour in the wine and cook until the wine is reduced by about half. Add the basil, salt, and pepper and continue to cook, stirring occasionally, until the tomatoes burst and become fragrant, 5 to 8 minutes. Remove from the heat and set aside the tomatoes in a bowl.', 'Position an oven rack about 3 inches from the top and preheat the broiler.', 'In a 10-inch cast-iron skillet over medium, heat 1 tablespoon of the cooking fat. Add the diced white part of the scallions and the minced garlic and cook, stirring often, until fragrant, about 3 minutes. Add the potato and continue to cook, stirring occasionally, until the potato softens, about 10 minutes. Add the corn and continue to cook for about 2 minutes longer.', 'In a large bowl, whisk together the eggs, red pepper flakes, and half the feta cheese. Pour the egg mixture over the veggie mixture in the skillet and top with the remainder of the cheese. Stir in the potato mixture and the scallion greens.', 'Wipe out the skillet and, over medium-high, heat the remaining 1 tablespoon of cooking fat. Cook the frittata, lifting up the cooked egg around the edges with a rubber spatula to let the uncooked eggs flow underneath, 2 to 3 minutes. Reduce the heat to medium and cook, giving the pan a shake now and again, until the eggs are mostly set but the center is still slightly jiggly, 3 to 5 minutes more.', 'Transfer the frittata to the oven and broil until the top is golden brown, 2 to 3 minutes (keep a close eye on the frittata, as it can easily burn). Serve topped with the tomato compote.']",https://assets.epicurious.com/photos/5f57b205d367f0148526ec0c/6:4/w_274%2Ch_169/Sweet-Corn-Frittata-HC-090820.jpg
5,Tomato Pie With Sour Cream Crust ,"['2 cups all-purpose flour, plus a little extra for dusting', '½ teaspoon salt', '2 teaspoons dried parsley', '13 tablespoons (1 stick plus 5 tablespoons) cold unsalted butter, diced', '6 tablespoons sour cream or plain full-fat yogurt', '1 tablespoon white wine vinegar', '¼ cup ice water', '2 tablespoons cooking fat', '1 large onion, thinly sliced', '2¼ pounds mixed heirloom tomatoes (mix of full size and cherries)', '¾ cup hard salty cheese, such as Manchego or Parmesan', '¾ cup shredded mozzarella cheese', '¼ cup mayonnaise', '3 tablespoons chopped basil leaves', '3 tablespoons chopped parsley', '1 teaspoon chopped thyme', 'Salt and freshly ground black pepper', '1 egg, beaten', '1 tablespoon milk, cream, or water']","['Preheat the oven to 375°F.', 'In a large, wide bowl, combine the flour, salt, and parsley. Add the butter pieces and, using a pastry blender or your fingertips, cut them up and into the flour mixture until it resembles little pebbles. Keep breaking up the bits of butter until the texture is very coarse.', 'In a small dish, whisk together the sour cream, vinegar, and water, and combine it with the butter-flour mixture. Using a spatula or wooden spoon, stir the wet and the dry together until a shaggy dough forms. If needed, get your hands into the bowl to knead it a few times into one big ball. Pat the dough into a disk, wrap it in plastic, and chill it in the fridge for 1 hour or up to 2 days.', 'In a large skillet over medium, heat 1 tablespoon of the cooking fat. Add the onion and cook, stirring, until golden, about 15 minutes. Let cool.', 'Meanwhile, thinly slice the tomatoes; toss them with 1 teaspoon salt and let them drain in a colander for 30 minutes, tossing them occasionally.', 'In a bowl, combine the cheeses, mayo, 2 tablespoons each of the chopped basil and parsley, the thyme, a hefty pinch each of salt and pepper, and the sautéed onion.', 'Sprinkle a little flour in the bottom of a 10-inch well-seasoned cast-iron skillet. Set it aside.', 'On a lightly floured surface, roll the dough into a 13-inch circle. Fit it into the prepared skillet, allowing the edges to extend over the sides of the pan.', 'Spread the cheese mixture evenly over the bottom of the dough. Arrange the tomatoes on top. Gently fold the overhanging pie crust over the tomatoes. It doesn’t have to be perfect.', 'Drizzle the pie with the remaining 1 tablespoon cooking fat and season with pepper. In a small bowl, whisk together the beaten egg and milk. Brush the crust with this egg wash, place the cast-iron pan on a rimmed baking sheet (to protect the bottom of your oven from any overflowing filling), and bake the pie until the tomatoes are browned, 50 to 60 minutes. Top the pie with the remaining 1 tablespoon each basil and parsley.', 'Localize it: Swap out any of the herbs or cheeses. The Manchego in this recipe is salty, and the mozzarella melts really well, so just keep that in mind when you’re doing your swaps.']",https://assets.epicurious.com/photos/5f57b0559f6df93d9ee2284e/6:4/w_274%2Ch_169/Tomato-pie-HC-090820.jpg
6,Pork Chops and Padrón Chiles en Escabèche ,"['2 1–1½"" bone-in pork chops (about 1 lb. total)', '6 tsp. kosher salt, divided', '1 tsp. coriander seeds', '2 cups small Padrón chiles or shishito peppers, stems trimmed of dry ends but not completely cut off', '1 small red onion, halved through root end, sliced ¼"" thick', '2 small garlic cloves, thinly sliced', '8 oz. small carrots (about 6), tops trimmed, scrubbed, sliced ¼"" thick on a diagonal, or 8 oz. large carrots (about 2), tops trimmed, peeled, halved, sliced ¼"" thick on a diagonal', '3 Tbsp. red wine vinegar', '1 Tbsp. sherry vinegar or red wine vinegar', '1 Tbsp. honey', '1 tsp. paprika', '5 Tbsp. extra-virgin olive oil, divided', '3 Tbsp. coarsely chopped oregano', 'A spice mill or a mortar and pestle']","['Season each pork chop all over with 1 tsp. salt and let sit at least 1 hour or chill on a wire rack set inside a rimmed baking sheet, uncovered, up to 2 days.', 'Preheat oven to 425°. If pork chops have been chilling in the fridge, let sit at room temperature while you make the escabèche.', 'Finely grind coriander seeds in a spice mill or with a mortar and pestle; set aside. Heat a dry large skillet over high. Add chiles in a single layer and cook, turning with tongs or a large spoon, until evenly blistered on all sides and deeply browned in spots, 5–7 minutes. Transfer chiles to a small pot; reserve skillet. Add red onion, garlic, carrots, red wine vinegar, sherry vinegar, honey, paprika, reserved ground coriander, 4 Tbsp. oil, remaining 4 tsp. salt, and 2 Tbsp. water to pot. Set over low heat, cover, and bring liquid to a gentle simmer. Cook, stirring vegetables often to keep submerged, until just-cooked through and still al dente, about 10 minutes. Remove escabèche from heat and stir in oregano.', 'Heat remaining 1 Tbsp. oil in reserved skillet over high. Arrange pork chops in pan so bone ends are in the center (this part cooks slower and this will help with even browning) and press down on pork chops with tongs to ensure surface is making good contact with the pan. Cook until golden underneath, about 3 minutes. Turn pork chops over and press down on them again. Transfer to oven and roast until an instant-read thermometer inserted into the thickest part registers 130° for medium (you should still have a little pink flesh; temperature should rise to about 145° when the pork chops rest), 5–7 minutes. Transfer pork chops to a cutting board and let rest 10 minutes.', 'To serve, transfer pork chops to plates and spoon escabèche over.', 'Do ahead: Escabèche can be made 2 weeks ahead. Transfer to an airtight container and let cool. Cover and chill.']",https://assets.epicurious.com/photos/5f47c27742ccbb9459a50faf/6:4/w_274%2Ch_169/PorkChopEscabeche_HERO_RECIPE_081220_10993_V1_final.jpg
7,Doenjang Jjigae (된장찌개 / Fermented-Soybean Stew) ,"['4 cups Dashi', '¼ cup doenjang (Korean fermented soybean paste)', '1 tablespoon gochujang (Korean red chili paste)', '1 tablespoon gochugaru (Korean red chili flakes)', '6 garlic cloves, minced', '2 tablespoons soy sauce, or more to taste', '2 medium onions, cut into 1-inch dice', '2 medium green zucchini, cut into 1-inch chunks', '1 red Korean chili pepper or other long hot chili, thinly sliced on the bias', '1 green Korean chili pepper or other long hot chili, thinly sliced on the bias', '½ pound brisket, sliced ⅛ inch thick (you can ask your butcher to slice it) and cut into 2- to 3-inch strips', '1 pound soft or silken tofu, homemade (page 67) or store-bought, cut into 1-inch cubes', '½ bunch scallions, cut into 1-inch batons']","['Put the dashi in a stockpot or other large pot set over medium-high heat and bring to a simmer. Whisk in the doenjang and cook for 10 minutes to bring out its natural sweetness. Add the gochujang and simmer for 5 minutes. Add the gochugaru, garlic, and soy sauce and simmer for another 10 minutes.', 'Add the onions and simmer for 5 minutes. Add the zucchini and simmer for 5 minutes. (Adding the vegetables at different times will ensure that they will all be fully cooked at the end.) Add the chili peppers, beef, and tofu and simmer for 5 minutes. Taste and adjust the seasoning with more soy sauce if necessary.', 'Remove the pot from the heat, add the scallions, put on the lid, and let the stew rest for at least 30 minutes, and up to 2 hours, before serving. Serve with steamed rice and your favorite banchan, as any and all pair well with this stew.']",https://assets.epicurious.com/photos/5f343202b7c5c2dd3b6c5fb1/6:4/w_274%2Ch_169/MyKorea_PG107.jpg
8,"Dakgangjeong (닭강정 / Korean Sweet, Crunchy Fried Chicken) ","['2 ½ pounds chicken wingettes or dumettes or small pieces of chicken (see headnote)', '¼ teaspoon kosher salt', '¼ teaspoon ground black pepper', '½ cup potato starch', 'Vegetable oil', '⅓ cup toasted peanuts (optional)', '½ cup rice syrup or honey', '3 tablespoons soy sauce', '2 tablespoons brown or white sugar', '2 teaspoons white vinegar', '2 teaspoons yellow mustard', '2 tablespoons vegetable oil', '3 garlic cloves, mined', '1 teaspoon minced peeled ginger', '8 small dried red chili peppers', '2 teaspoons toasted sesame seeds', '2 to 3 teaspoons crushed red pepper flakes (optional)']","['Mix the chicken pieces, salt, and black pepper in a large bowl. Transfer to a large zipper-lock bag, add the potato starch, close the bag, and mix well by flipping the bag over and back again until the chicken is well coated.', 'Place a large mesh strainer over a bowl.', 'Heat 2 inches vegetable oil in a large, deep pan or wok over medium-high heat until it reaches about 340°F, 8 to 10 minutes. If you don’t have a thermometer, test it by dipping a tip of a chicken piece into the oil. If it bubbles, it’s ready. Carefully add the chicken to the oil one piece at a time, working in batches to avoid overcrowding.', 'Deep-fry, turning the chicken with tongs, until all sides are light golden brown and crunchy, 10 to 12 minutes. As each piece is done, transfer it to the strainer. Once the chicken has drained, transfer it to a large bowl. Repeat with the rest of the chicken, making sure to bring the oil back up to 340°F between batches.', 'Return the oil to 340°F over high heat and carefully add all the chicken—there’s no need to work in batches this time. The chicken will look a little soggy at first. Deep-fry, turning occasionally, until all the chicken pieces are dark golden brown and very crunchy, another 10 to 13 minutes. Transfer the chicken pieces to the strainer or a rack to drain, then place in a large bowl.', 'If using the peanuts, place them in a slotted spoon or a small mesh strainer, carefully dip them into the hot oil, and fry for 15 to 30 seconds, just until light golden brown. Transfer to a small bowl.', 'Mix the rice syrup, soy sauce, sugar, vinegar, and mustard in a small bowl.', 'Heat a large pan or wok over medium-high heat. Add the oil, garlic, ginger, and chili peppers and stir for 30 seconds to 1 minute, until the garlic is a little crispy and fragrant. Add the soy sauce mixture and stir. Let it bubble for 2 to 3 minutes, until the mixture is shiny and a little sticky. Remove from the heat if not using right away and reheat until bubbling when ready to finish the chicken.', 'Add the chicken and peanuts (if using) to the bubbling sauce and toss with a wooden spoon to coat nicely. Sprinkle with the toasted sesame seeds and a few teaspoons crushed red pepper flakes (if using). Transfer to a large plate or platter and serve. The chicken will remain crunchy for several hours if left at room temperature, or you can cover and refrigerate it for up to 3 days.']",https://assets.epicurious.com/photos/5f35ba74819de6518b9efe56/6:4/w_274%2Ch_169/Sweet%2C%20Crunch%20Fried%20Chicken%20Step%207%20(c)%20Maangchi.jpg
9,Spicy Pork Belly Sliders ,"['1 medium onion, thinly sliced', '1 cup gochujang (Korean red chili paste)', '¼ cup soy sauce', '¼ cup minced garlic', '¼ cup sugar', '3 tablespoons sake', '2 tablespoons mirin', '2 tablespoons toasted sesame oil', '2 pounds skinless pork belly, sliced ¼ inch thick (ask the butcher to slice it) and cut into 2-inch squares', 'Unsalted butter', '12 slider buns', 'Mayonnaise', '2 English cucumbers, peeled, halved lengthwise, seeded, and sliced into matchsticks']","['To make the marinade, put the onion, gochujang, soy sauce, garlic, sugar, sake, mirin, and sesame oil in a bowl and mix well to combine. Add the pork and turn to coat the meat. Cover and refrigerate overnight.', 'The next day, set a large sauté pan over medium heat. Once it’s hot, add the pork, working in batches so as not to overcrowd the pan and leaving any liquid in the bowl. Cook, stirring occasionally and flipping the meat, until lightly caramelized and golden brown on both sides, about 10 minutes. (If you overcrowd the pan, the meat will steam instead of sear.) Transfer to a platter.', 'When the meat is cooked, open the buns, butter the interiors, and toast them until they are a light golden brown.', 'To serve, spread both cut sides of each bun with a healthy smear of mayo and pile the spicy pork generously on the bottoms of the buns. Top with the sliced cucumbers. Serve immediately.', 'The pork belly must be marinated overnight. You can also grill the pork on an outdoor grill over a high flame. The sugars in the marinade will char and caramelize, giving you a more interesting texture and flavor, but be careful not to burn the pork.']",https://assets.epicurious.com/photos/5f4fbecdcf8cdefa33d67e09/6:4/w_274%2Ch_169/PorkBellySliders_RECIPE_082720_11181.jpg
